Date,cost,rate,gal,miles,perMile,mileage,comment
2011-07-10,30.1,3.929,7.661,197.9,0.15,25.8,
2011-07-11,35.11,3.819,9.193,334.6,0.1,36.4,
2011-07-14,21.02,3.899,5.392,117.9,0.18,21.9,
2011-07-21,38.77,3.839,10.099,404,0.1,40,
2011-09-16,33.83,3.569,9.479,250.6,0.13,26.4,
2011-10-02,37.45,3.519,10.643,282.9,0.13,26.6,
2011-10-09,33.89,3.479,9.717,334.3,0.1,34.4,
2011-10-29,37.69,3.419,11.024,254.9,0.15,23.1,
2011-11-09,28.75,3.499,8.217,233.9,0.12,28.5,
2011-11-11,39.52,3.699,10.685,354.5,0.11,33.2,
2011-11-13,23.84,3.499,6.813,248.3,0.1,36.4,
2011-11-25,38.39,3.499,10.973,309.5,0.12,28.2,
2011-12-10,34.89,3.419,10.206,280.1,0.12,27.4,
2012-07-26,38.51,3.799,10.137,222.8,0.17,22,
2012-07-28,35.96,3.599,9.991,337.8,0.11,33.8,
2012-07-31,38.55,3.739,10.311,340.1,0.11,33,
2012-08-05,29.72,3.699,8.034,279.2,0.11,34.8,
2012-08-10,32.2,3.919,8.216,333.4,0.1,40.6,
2012-08-20,37.15,3.999,9.29,236,0.16,25.4,
2012-09-09,41.68,3.899,10.691,248.2,0.17,23.2,
2012-09-16,28.86,3.839,7.518,234.5,0.12,31.2,
2012-09-28,39.86,3.799,10.491,327,0.12,31.2,
2012-10-08,41.82,3.879,10.781,297.6,0.14,27.6,
2012-10-14,41.36,3.839,10.774,299,0.14,27.8,
2012-10-27,39.66,3.699,10.722,268.7,0.15,25.1,
2012-11-18,36.69,3.389,10.825,239.8,0.15,22.2,
2012-12-03,37.12,3.339,11.117,265.2,0.14,23.9,
2012-12-08,8.64,3.299,2.618,58.2,0.15,22.2,
2012-12-10,34.93,3.659,9.546,327.7,0.11,34.3,
2012-12-15,12.61,3.699,3.409,105.6,0.12,31,
2012-12-16,35.36,3.239,10.917,354,0.1,32.4,
2013-01-02,35.36,3.359,10.528,284.2,0.12,27,
2013-01-16,36.28,3.439,10.549,254.2,0.14,24.1,
2013-01-30,34.14,3.539,9.647,228.6,0.15,23.7,
2013-02-11,38.16,3.699,10.315,233.5,0.16,22.6,
2013-02-25,41.37,3.929,10.53,240.3,0.17,22.8,
2013-03-02,16.45,3.899,4.22,100.3,0.16,23.8,
2013-03-09,42.81,3.939,10.869,347.6,0.12,32,
2013-03-11,40.22,3.859,10.423,347.2,0.12,33.3,
2013-03-27,40.82,3.799,10.745,239.5,0.17,22.3,
2013-04-15,40.52,3.719,10.896,249.3,0.16,22.9,
2013-04-29,35.94,3.679,9.769,255,0.14,26.1,
2013-05-15,35.95,3.719,9.666,245.5,0.15,25.4,
2013-05-28,38.49,3.699,10.405,285.1,0.14,27.4,
2013-06-09,40.69,3.659,11.121,285.8,0.14,25.7,est
2013-06-21,37.99,3.689,10.298,246.5,0.15,23.9,
2013-06-23,38.19,3.629,10.524,372.9,0.1,35.4,
2013-06-26,34.55,3.709,9.316,332.6,0.1,35.7,
2013-06-29,32.06,3.689,8.691,286.5,0.11,33,est
2013-07-01,27.53,3.559,7.734,259.8,0.11,33.6,est
2013-07-12,37.13,3.599,10.318,286.6,0.13,27.8,
2013-07-23,38.75,3.699,10.476,229.4,0.17,21.9,
2013-08-04,30.52,3.459,8.823,205.4,0.15,23.3,
2013-08-11,25.62,3.579,7.159,227.1,0.11,31.7,
2013-08-12,37.48,3.799,9.867,372.3,0.1,37.7,
2013-08-16,42.03,3.859,10.892,374.3,0.11,34.4,
2013-08-18,19.24,3.699,5.202,200.3,0.1,38.5,
2013-08-29,35.23,3.519,10.012,295.2,0.12,29.5,
2013-09-09,38.67,3.519,10.99,295.3,0.13,26.9,
2013-09-18,32.77,3.459,9.473,262.5,0.12,27.7,
2013-10-01,35.51,3.279,10.831,268.3,0.13,24.8,
2013-10-09,33.8,3.329,10.154,272.1,0.12,26.8,
2013-10-22,36.15,3.299,10.958,263.9,0.14,24.1,
2013-11-01,33.11,3.119,10.614,259.7,0.13,24.5,est
2013-11-20,34.67,3.199,10.838,269.3,0.13,24.8,
2013-11-23,38.37,3.599,10.662,371.7,0.1,34.9,
2013-11-24,37.61,3.699,10.168,307.9,0.12,30.3,
2013-11-27,31.47,3.619,8.697,271.8,0.12,31.3,
2013-11-30,23.62,3.639,6.492,196.6,0.12,30.3,
2013-12-04,35.34,3.359,10.522,355.8,0.1,33.8,
2013-12-23,36.65,3.319,11.043,221.6,0.17,20.1,
2014-01-06,36.63,3.299,11.103,279.1,0.13,25.1,
2014-01-18,36.89,3.349,11.014,268.5,0.14,24.4,
2014-01-26,31.36,3.299,9.506,275.7,0.11,29,
2014-02-08,34.26,3.299,10.384,230.3,0.15,22.2,
2014-02-19,34.74,3.359,10.341,237.7,0.15,23,
2014-03-05,34.22,3.359,10.187,228.7,0.15,22.5,
2014-03-18,37.16,3.499,10.619,269,0.14,25.3,
2014-04-02,36.72,3.599,10.203,233.5,0.16,22.9,
2014-04-14,39.98,3.639,10.987,284.1,0.14,25.9,
2014-04-16,34.65,3.759,9.219,332,0.1,36,
2014-04-19,27.59,3.799,7.263,242.3,0.11,33.4,
2014-04-23,39.09,3.739,10.454,351.9,0.11,33.7,
2014-05-01,41.01,3.739,10.967,260.5,0.16,23.8,
2014-05-21,42.23,3.699,11.145,263.9,0.16,23.7,
2014-05-30,33.24,3.369,9.867,276.6,0.12,28,
2014-06-03,40.12,3.699,10.847,369.4,0.11,34.1,
2014-06-20,40.6,3.699,10.976,240.2,0.17,21.9,
2014-07-09,33.21,3.699,8.978,195.2,0.17,21.7,
2014-07-11,37.43,3.779,9.904,352.6,0.11,35.6,
2014-07-13,33.15,3.839,8.635,293.7,0.11,34,
2014-07-14,25.21,3.819,6.6,245.6,0.1,37.2,
2014-07-19,39.03,3.619,10.784,370,0.11,34.3,
2014-07-31,40.06,3.579,11.194,298.2,0.13,26.6,
2014-08-02,38.51,3.659,10.524,340.6,0.11,32.4,
2014-08-05,35.28,3.639,9.695,367.3,0.1,37.9,
2014-08-10,20.83,3.739,5.57,198.7,0.1,35.7,
2014-08-14,37.9,3.459,10.956,367.2,0.1,33.5,
2014-09-01,38.42,3.419,11.237,263.2,0.15,23.4,
2014-09-18,36.73,3.379,10.869,248.5,0.15,22.9,
2014-10-01,36.06,3.299,10.932,288.9,0.12,26.4,
2014-10-09,25.15,3.199,7.862,201.8,0.12,25.7,
2014-11-07,32.53,3.039,10.703,285.6,0.11,26.7,
2014-11-16,24.92,2.539,9.815,285.8,0.09,29.1,
2014-11-23,29.42,2.859,10.29,313.5,0.09,30.5,
2014-12-05,30.87,2.839,10.873,310.5,0.1,28.6,
2014-12-18,26.85,2.459,10.918,269.5,0.1,24.7,
2014-12-26,10.32,2.259,4.568,98.6,0.1,21.6,
2014-12-28,27.69,2.759,10.038,361.3,0.08,36,
2015-01-01,19.49,2.699,7.22,219.1,0.09,30.3,
2015-01-22,22.75,2.059,11.051,254.5,0.09,23.03,
2015-02-05,23.27,2.159,10.776,243.8,0.1,22.62,
2015-02-22,23.79,2.259,10.53,218.9,0.11,20.79,
2015-03-13,25.25,2.359,10.703,250.4,0.1,23.4,
2015-03-27,25.57,2.359,10.839,264,0.1,24.36,
2015-04-16,26.28,2.429,10.82,246,0.11,22.74,
2015-05-02,27.28,2.499,10.915,270.6,0.1,24.79,
2015-05-14,27.16,2.599,10.449,293.3,0.09,28.07,
2015-05-28,29.62,2.659,11.141,247.1,0.12,22.18,
2015-06-11,29.75,2.699,11.023,264.3,0.11,23.98,
2015-06-14,9.16,2.659,3.444,64.9,0.14,18.84,
2015-06-16,30.71,2.879,10.666,405.3,0.08,38,
2015-06-22,23.65,2.859,8.272,277.2,0.09,33.51,
2015-06-24,26.97,2.899,9.3,310.1,0.09,33.34,
2015-06-26,29.33,2.919,10.049,352.5,0.08,35.08,
2015-06-28,25.63,2.699,9.496,346.6,0.07,36.5,
2015-07-13,30.43,2.699,11.273,265.5,0.11,23.55,
2015-07-26,22.09,2.659,8.306,213.4,0.1,25.69,
2015-07-31,27.18,2.599,10.457,336.2,0.08,32.15,
2015-08-06,27.31,2.559,10.674,340.2,0.08,31.87,
2015-08-15,25.13,2.499,10.055,297.2,0.08,29.56,
2015-08-18,26.26,2.559,10.261,376.6,0.07,36.7,
2015-08-22,20.32,2.619,7.759,252.2,0.08,32.5,
2015-08-28,25.86,2.399,10.778,388.4,0.07,36.04,
2015-09-13,25.8,2.299,11.223,309,0.08,27.53,
2015-09-30,24.4,2.259,10.8,253.1,0.1,23.44,
2015-10-09,26.29,2.309,11.384,302.5,0.09,26.57,
2015-10-21,23.34,2.159,10.811,304,0.08,28.12,
2015-11-15,22.36,2.059,10.862,291.9,0.08,26.87,
2015-12-02,21.32,1.999,10.666,284.1,0.08,26.64,
2015-12-26,5.39,1.939,2.781,64.1,0.08,23.05,
2015-12-27,20.36,2.099,9.702,328.2,0.06,33.83,
2016-01-01,24.23,2.229,10.87,321,0.08,29.53,
2016-01-02,17.26,2.099,8.222,256.9,0.07,31.25,
2016-01-12,20.15,1.859,10.837,305.6,0.07,28.2,
2016-03-26,10.57,2.059,5.132,171.4,0.06,33.4,
2016-03-31,21.46,2.029,10.578,353.6,0.06,33.43,
2016-04-14,22.16,2.089,10.608,270.4,0.08,25.49,
2016-04-29,23.99,2.189,10.96,257.5,0.09,23.49,
2016-04-29,23.99,2.189,10.96,257.5,0.09,23.49,
2016-06-12,25.63,2.289,11.199,298,0.09,26.61,
2016-06-15,25.179,2.289,11,385.7,0.07,35.06,
2016-06-25,25.44,2.399,10.604,362.2,0.07,34.16,
2016-06-26,17.01,2.399,7.09,237.5,0.07,33.5,
2016-06-28,14.45,2.249,6.424,211.5,0.07,32.92,
2016-06-28,24.23,2.399,10.098,351.5,0.07,34.81,
2016-07-03,25.05,2.229,11.239,388.7,0.06,34.58,
2016-08-09,21.35,2.239,9.537,337.4,0.06,35.38,
2016-08-17,16.63,2.099,7.925,271.7,0.06,34.28,
2016-09-07,23.28,2.049,11.362,363.5,0.06,31.99,
2016-09-21,22.41,2.089,10.727,247.6,0.09,23.08,
2016-10-01,25.76,2.299,11.207,298.6,0.09,26.64,
2016-10-09,21.38,2.099,10.188,289.8,0.07,28.45,
2016-10-19,23.33,2.149,10.857,276.5,0.08,25.47,
2016-11-10,22.48,2.089,10.762,285.4,0.08,26.52,
2016-11-23,20.96,1.989,10.54,263.3,0.08,24.98,
2016-12-04,22.99,2.089,11.004,274.7,0.08,24.96,
2016-12-19,23.76,2.189,10.854,238.8,0.1,22,
2016-12-31,23.64,2.199,10.751,278,0.09,25.86,
2017-01-11,22.66,2.249,10.075,263.9,0.09,26.19,
2017-01-22,22.2,2.149,10.332,258.1,0.09,24.98,
2017-01-29,18.58,2.129,8.726,208.9,0.09,23.94,
2017-02-07,22.59,2.129,10.61,280.8,0.08,26.47,
2017-02-16,22.01,2.129,10.336,258.3,0.09,24.99,
2017-02-23,23.05,2.129,10.825,306.7,0.08,28.3,
2017-03-17,22.05,2.089,10.555,240.9,0.09,22.82,
2017-03-25,26.46,2.299,11.511,289.6,0.09,25.16,
2017-04-09,12.17,2.249,5.412,135.4,0.09,25.02,
2017-04-10,25.89,2.459,10.527,336.5,0.08,31.97,
2017-04-16,26.73,2.499,10.698,315.2,0.08,29.46,
2017-04-29,24.46,2.269,10.78,292.4,0.08,27.12,
2017-05-10,24.09,2.229,10.807,293.2,0.08,27.13,
2017-05-22,24.42,2.229,10.956,263.1,0.09,24.01,
2017-05-29,23.73,2.199,10.793,324.1,0.07,30.03,
2017-06-06,22.79,2.189,10.412,268.7,0.08,25.81,
2017-06-17,24.17,2.099,11.513,274.9,0.09,23.88,
2017-06-25,13.19,2.149,6.138,157.2,0.08,25.61,
2017-07-01,18.23,2.149,8.483,267.7,0.07,31.56,
2017-07-07,22.95,2.159,10.628,283.2,0.08,26.65,
2017-07-14,23.26,2.149,10.825,300.6,0.08,27.77,
2017-07-24,23.87,2.149,11.107,269.1,0.09,24.23,
2017-08-02,24.05,2.189,10.986,309.6,0.08,28.18,
2017-08-06,19.33,2.189,8.829,266.4,0.07,30.17,
2017-08-07,21.47,2.459,8.732,340.5,0.06,38.99,
2017-08-19,26.08,2.419,10.782,333.2,0.08,30.9,
2017-08-24,23.88,2.249,10.619,390.3,0.06,36.75,
2017-09-02,28.44,2.659,10.695,333.9,0.09,31.22,
2017-09-17,28.03,2.599,10.785,294.3,0.1,27.29,
2017-09-29,26.21,2.489,10.532,263.6,0.1,25.03,
2017-10-12,22.34,2.389,9.351,234.4,0.1,25.07,
2017-10-25,25.2,2.349,10.726,275.7,0.09,25.7,
2017-11-03,17.77,2.289,7.762,194.4,0.09,25.05,
2017-11-05,21.92,2.559,8.565,315.3,0.07,36.81,
2017-11-07,18.78,2.699,6.959,248.1,0.08,35.65,
2017-11-16,22.05,2.299,9.591,289.6,0.08,30.19,
2017-11-18,19.57,2.559,7.648,242.5,0.08,31.71,
2017-12-04,24.96,2.289,10.906,305,0.08,27.97,
2017-12-17,27.29,2.459,11.097,255.7,0.11,23.04,
2017-12-26,14.02,2.219,6.318,181.9,0.08,28.79,
2017-12-27,27.81,2.629,10.58,338.8,0.08,32.02,
2017-12-30,22.88,2.559,8.94,268,0.09,29.98,
2018-01-01,5.91,2.539,2.328,39.3,0.15,16.88,
2018-01-05,31.2,2.759,11.307,346.3,0.09,30.63,
2018-01-17,25.32,2.329,10.872,290.4,0.09,26.71,
2018-02-08,24.58,2.449,10.036,232.2,0.11,23.14,
2018-02-22,24.6,2.329,10.564,258.9,0.1,24.51,
2018-03-09,25.24,2.299,10.977,279,0.09,25.42,
2018-03-26,10.16,2.459,4.132,102.5,0.1,24.81,
2018-03-27,25.31,2.799,9.043,315.8,0.08,34.92,
2018-03-30,14.41,2.699,5.338,172.5,0.08,32.32,
2018-04-02,25.53,2.459,10.382,346.8,0.07,33.4,
2018-04-12,27.87,2.539,10.976,326.6,0.09,29.76,
2018-04-25,29.06,2.659,10.93,254.2,0.11,23.26,
2018-05-10,26.76,2.759,9.7,240.8,0.11,24.82,
2018-05-23,29.67,2.859,10.378,271.5,0.11,26.16,
2018-06-06,24.54,2.839,8.643,208.8,0.12,24.16,
2018-06-17,22.95,2.839,8.084,187.4,0.12,23.18,
2018-06-21,29.87,2.799,10.672,314.1,0.1,29.43,
2018-06-27,27.33,2.759,9.904,327.9,0.08,33.11,
2018-07-09,29.77,2.759,10.791,256.7,0.12,23.79,
2018-07-14,18.66,2.739,6.813,155.9,0.12,22.88,
2018-07-16,29.03,2.969,9.779,349,0.08,35.69,
2018-07-20,19.5,2.929,6.657,245.7,0.08,36.91,
2018-07-23,31.01,2.789,11.118,379.5,0.08,34.13,
2018-08-17,21.49,2.699,7.964,185.3,0.12,23.27,
2018-08-21,28.38,2.699,10.516,355.8,0.08,33.83,
2018-08-31,29.63,2.739,10.817,314.5,0.09,29.07,
2018-09-21,27.23,2.689,10.125,251.8,0.11,24.87,
2018-10-07,29.1,2.689,10.821,300.3,0.1,27.75,
2018-10-21,26.65,2.689,9.911,269.3,0.1,27.17,
2018-11-18,28.11,2.699,10.415,264.5,0.11,25.4,
2018-12-02,26.32,2.429,10.837,259.6,0.1,23.95,
2018-12-26,24.55,2.259,10.866,275.1,0.09,25.32,
2019-01-31,22.6,2.059,10.977,274.8,0.08,25.03,
2019-02-16,22.49,2.059,10.921,248.8,0.09,22.78,
2019-02-27,23.27,2.179,10.678,313.3,0.07,29.34,
2019-03-10,16.44,2.259,7.276,185.9,0.09,25.55,
2019-03-25,24.27,2.499,9.71,289.7,0.08,29.84,
2019-03-31,23.24,2.419,9.607,298,0.08,31.02,
2019-04-28,12.53,2.659,4.714,130.5,0.1,27.68,
2019-05-05,23.82,2.599,9.165,265.3,0.09,28.95,
2019-05-15,23.79,2.699,8.814,265,0.09,30.07,
2019-05-17,20.05,2.659,7.54,245.6,0.08,32.57,
2019-05-19,22.98,2.559,8.982,345.9,0.07,38.51,
2019-05-19,24.42,2.559,9.544,331.2,0.07,34.7,
2019-06-03,28.43,2.699,10.535,291.5,0.1,27.67,
2019-06-20,21.45,2.599,8.255,215.3,0.1,26.08,
2019-07-01,29.83,2.599,11.479,322.3,0.09,28.08,
2019-07-24,26.43,2.659,9.938,236,0.11,23.75,
2019-08-03,22.24,2.599,8.556,201.7,0.11,23.57,
2019-08-15,26.47,2.559,10.342,361.9,0.07,34.99,
2019-09-05,25.92,2.399,10.805,252,0.1,23.32,
2019-09-30,26.98,2.399,11.246,296.7,0.09,26.38,
2019-10-19,24.92,2.339,10.656,282.7,0.09,26.53,
2019-11-05,23.15,2.299,10.068,250.4,0.09,24.87,
2019-12-02,30.51,2.799,10.899,273.3,0.11,25.08,
2019-12-20,26.06,2.359,11.046,268.8,0.1,24.33,
2020-01-21,26.05,2.399,10.858,246,0.11,22.66,
2020-02-05,25.15,2.359,10.66,259.7,0.1,24.36,
2020-02-26,23.34,2.259,10.333,231.5,0.1,22.4,
2020-04-17,20.47,1.799,11.379,282.5,0.07,24.83,
2020-06-23,20.01,1.899,10.537,284.7,0.07,27.02,
2020-07-31,21.15,2.199,9.618,346.6,0.06,36.04,
2020-08-14,21.72,2.159,10.058,352.6,0.06,35.06,
2020-08-21,23.08,2.099,10.995,388.2,0.06,35.31,
2020-09-30,22.33,2.039,10.951,294.9,0.08,26.93,
2020-11-13,20.44,1.979,10.327,275.1,0.07,26.64,
2021-01-12,21.1,2.079,10.148,260,0.08,25.62,
,25.4,2.459,10.286,317.7,0.08,30.89,
